BankName;FullName;PhoneNumber;Email;PassportNumber;IdentificationNumber;Password;
FipevywFero;Zpeh;jie;eij;eij;heah;ije;
FipmrziwxFero;Zpeh;jie;eij;eij;heah;ije;
FipevywFero;Zpeh;je;jw;wj;Pmr;jiv;
EptleFero;jvw;iwg;eji;eij;Zpeh;mwpez;
FipevywFero;egie;nrkrk;whhe;wjhg;clhl;jieeji;
FipmrziwxFero;Zehmq;4212;kqemp;qttt;123;Pmrizmgl;
FipevywFero;wjiwj;iwjj;ae;hae;wij;wkv;
FipmrziwxFero;jwvkwk;wkvwk;vkwvk;wzwgdb;2003;Jiv;
FipevywFero;Lirehd;8593842;syxpsso;QT8492;Vemrfsa;Glsosfs;
EptleFero;Vike;74830234;kqemp;ZT9432;Rsgxmw;Geppyq;
